sentence,label
"living in a concentration camp-like atmosphere , they are led by one plucky hen called ginger ( voice of julia sawalha ) who continually comes up with plans for escape -- and always gets caught , subsequently spending day after day in the coal box .",1
"there's even a nod to "" the blues brothers , "" if you can believe it , and the filmmakers even get in a little light-hearted ribbing at the expense of their star voice actor , taking a couple of very subtle jabs at mel gibson's nationality and film history .",1
"park , lord , and screenwriter karey kirkpatrick realize that an audience does not need a parody shoved in their faces before it's understood , and as a result , "" chicken run "" is filled with visual and verbal jabs that are never too obvious , but not quite vague either .",1
"ginger is perfect , spunky and opinionated , but with a soft heart that forbids her to leave her companions behind , and julia sawalha ( known as the cute mousy girl on "" absolutely fabulous "" ) nails it .",2
"jane horrocks delivers a lovely voice characterization as tragically optimistic babs ( a hen that runs away with most of the best one-liners , all while perpetually crocheting a sweater ) , and two supply-trading rats that seem to have walked straight out of a monty python sketch nearly steal the show during the lively central swing-dancing sequence .",2
"remember that this was all done the old-fashioned way , with actual humans moving clay figurines around on a tiny set bit by painstaking bit , and you see just how truly remarkable "" chicken run "" really is .",2
", business involving a runaway carriage ; and an extended late-film sequence at a construction site , in which a hilarious pursuit through a maze of blue doors culminates in some exciting fights involving boards , cement mixers , and a deadly buzzsaw .",1
"nice guy are as spectacular as supercop's thrilling helicopter-train finale or rumble in the bronx's daring leap between two buildings ; nor is anything as inventive as the ladder fight or air tunnel climax in first strike and operation condor , respectively .",1
"nice guy hints at jackie chan's latest transition to hollywood productions ( he made ill-fated attempts with 1980's the big brawl and 1985's the protector ) ; next in the pipeline is rush hour , a stateside production co-starring chris tucker .",1
"and , right from the start , you know youÂ¹re in the hands of a couple filmmakers with a keen sense of humor , as kyle , stan , cartman and kenny head off to "" a foreign film from canada "" , via an hilarious disney rip-off show tune called "" mountain town "" .",2
"which takes only a few minutes to desensitize us to what weÂ¹re hearing ; i mean , really , you hear ten mutterings of "" pig-fucker "" or "" shit-smeller "" ( i may be a little inaccurate with those examples , but you get it ) , and youÂ¹ve heard a lifetime .",0
"no , series creators trey parker and matt stone are not ones to rest on their considerable laurels , and thus , this southpark feature goes a step or two further with a clever storyline : the parents of our four young anti-heroes are shocked by their newfound vocabulary .",2
"war is declared , terrance and phillip are taken hostage and their public execution planned out , and cartman Â­ following his humorous ditty , "" kyleÂ¹s momÂ¹s a bitch "" , sung by members of several different nationalities Â­ gets a chip put in his head that prevents further use of foul language through shock treatment .",1
"in the meantime , kenny suffers his usual death , goes to hell , where satan and sadam hussein are lovers , and satan is a big softie and wants to be able to communicate with his partner instead of just having sex all the time .",1
"susan granger's review of "" the closet "" ( miramax films ) in this hilarious french farce , a shy , boring accountant ( daniel auteil ) named francois pignon discovers he's going to be fired from his job at a condom factory .",1
"a mucho macho co-worker felix ( gerard depardieu ) , a self-righteous homophobe , is stunned and repulsed when he's forced by the pr director ( thierry lhermite ) to grovel and court pignon's friendship or risk losing his own job .",1
"daniel auteuil ( "" the widow of saint-pierre "" ) is delightful - particularly with a blown-up condom perched on his head , riding on a float in a gay pride parade - and gerard depardieu delivers one of his most restrained , and effective , performances .",2
"in contrast , the son's room captures a more realistic depiction of the effects of death on a family by graciously flowing among the five stages of mourning ( denial , depression , anger , bargaining , acceptance ) through each of its main characters .",1
"by dustin putman  dustin putman's film reviews  "" living out loud , "" is the type of motion picture we don't often see : it is a film about mature , intelligent adults , instead of the usual american film , in which children basically dress up in grown-up clothing and parade around acting like immature seven-year-olds .",2
"she cannot sleep , haunted by terrible memories , often imagines off-the-wall things to try and make the world seem like a better place , and the only place she can really go to feel happy is to hear one of her favorite singers , liz bailey ( queen latifah ) , perform at a local club .",2
"judith's life does start to brighten a little when , one night when she gets home to her apartment late , strikes up a conversation with the elevator operator , pat ( danny devito ) , a lonely man in his fifties whom has lost his daughter recently .",1
"living out loud , "" which was written by richard lagravenese ( "" the bridges of madison county "" ) , who is also making his directing debut here , is a wonderful film from beginning to end , one that is honest , genuinely funny , and poignant .",2
"the three central characters , that of judith , pat , and liz , are all written to be free-thinking , complex human beings , and are all likable , but flawed , people who are constantly interesting , as is the film itself .",2
"for ordell , jackie is apprehended by fbi agent mark dargus ( michael bowen ) and atf agent ray nicolet ( michael keaton ) , who catch her not only with the money , but with a bonus of a couple of ounces of illicit drugs .",1
"ordell uses honest bail bondsman max cherry ( robert forster ) to get jackie out of jail , but while max is immediately attracted to her , jackie is more concerned about her immediate safety , since ordell killed the last one of his operatives who got picked up by the police .",1
"since ordell wants to get his money out of mexico , jackie will get back up to her old tricks and be a courier for him once more , but this time for a more substantial fee : fifteen percent of ordell's half million dollars .",1
"there's a scene where max is unwittingly watching a dry run of a money exchange , and he's not really sure what's happening , but by composing the scene just so , his realization of what's going on is felt simultaneously by the audience .",1
"however , unlike the real-life tomahawk cruise missile strike against bin laden's camp and manufacturing facility , the film version depicts special operations troops kidnapping sheik ahmed bin talal .",1
"admittedly , the terror wrought upon new york is a bit excessive ( who's going to believe that a few bombs are going to cause new yorkers to jump at the backfire of a bus or to curtail their shopping by two-thirds ? )",1
"throughout , the film maintains a conflict between hubbard , who wants to use the fbi to pursue the terrorists within the letter of the law , and general devereaux ( bruce willis ) , who is in command of the army and of the mind that the greater good would be better served by suspending the law and pursuing the terrorists more forcefully .",2
"i therefore found it odd that zwick chose the prolific score-writer graeme revell ( seven films this year already ) over horner for the siege until i realized that this film contained a lot of arabian-themed music , and horner's record has shown more of a propensity for scores either neutral in ethnicity or irish-sounding at most .",1
"unfortunately , there's a scene where the army just cuts loose against some arab immigrants in a blatant display of firepower and explosions , obviously meant for the sole purpose of being eye-catching .",0
"what's important is how i get along with the people that are still alive , "" jimmy "" the tulip "" tudeski ( bruce willis ) solemnly informs a very nervous nick "" oz "" oseransky ( matthew perry ) once oz discovers jimmy's profession .",1
"despite the considerable comic abilities of both these actors , they are overshadowed by amanda peet's ( "" isn't she great "" , "" simply irresistable "" ) hysterical performance as the secretary who wants desperately to become a contract killer . """,1
"he's not a lunatic or a hot-tempered madman , he's somewhat like a child - panicky , compulsive , and running on emotion - and his naive intentions aren't helped any by the fact that banks wasn't overly compassionate with the let go .",0
"at first , max's intentions don't stretch beyond high ratings and a good boost to the ole pride factor , but as he gets to know sam more personally , he begins to sympathize and even become somewhat of an advocate for him .",2
"starring jason mewes , kevin smith , ben affleck , shannon elizabeth , will ferrell , jason lee , chris rock , ali larter , brian christopher o'halloran , seann william scott , george lucas , carrie fisher and mark hamill .",1
"jay and silent bob strike back can rightfully be subtitled "" kevin smith's greatest hits "" for the film is comprised of numerous references and characters from smith's earlier works including , clerks , mall rats .",1
"kevin smith must be a very likable person because several good sports took a ton of kidding in this feature , most notably miramax , the studio whose subsidiary , dimension films , is jay and silent bob's distributor .",2
"this is a laugh-filled , foul-mouthed road film with jay ( jason mewes ) and silent bob ( smith ) hitching to hollywood to sabotage miramax's production of bluntman and chronic , comic book characters based on the two jersey slackers .",1
"jay's convoluted reasoning is that if the film is shut down , people on the internet will stop insulting him and bob , even though it is not him and bob the people are dissing , but rather their comic book counterparts .",1
"director bille august manages to create a faithful adaptation of victor hugo's novel , which , though omitting some of the political undertones , remains true to the overall story and tone of the book .",2
"and like those preceding it , spartacus and ben hur , gladiator has nearly everything going for it - a strong lead actor , a wonderful supporting cast , eye-catching special effects , and a great script .",2
